window_idx,window_ts,feature,v0,v1,v2,v3
24,W024,drift_feat,10.0000,10.0500,10.1000,10.0500
24,W024,decoy_feat,5.4000,5.5000,5.6000,5.5000
25,W025,drift_feat,9.9000,9.9500,10.0000,9.9500
25,W025,decoy_feat,4.9000,5.0000,5.1000,5.0000
26,W026,drift_feat,10.0000,10.0500,10.1000,10.0500
26,W026,decoy_feat,4.4000,4.5000,4.6000,4.5000
27,W027,drift_feat,9.9000,9.9500,10.0000,9.9500
27,W027,decoy_feat,5.4000,5.5000,5.6000,5.5000
28,W028,drift_feat,10.0000,10.0500,10.1000,10.0500
28,W028,decoy_feat,4.9000,5.0000,5.1000,5.0000
29,W029,drift_feat,9.9000,9.9500,10.0000,9.9500
29,W029,decoy_feat,4.4000,4.5000,4.6000,4.5000
30,W030,drift_feat,10.0000,10.0500,10.1000,10.0500
30,W030,decoy_feat,5.4000,5.5000,5.6000,5.5000
31,W031,drift_feat,9.9000,9.9500,10.0000,9.9500
31,W031,decoy_feat,4.9000,5.0000,5.1000,5.0000
32,W032,drift_feat,10.0000,10.0500,10.1000,10.0500
32,W032,decoy_feat,4.4000,4.5000,4.6000,4.5000
33,W033,drift_feat,9.9000,9.9500,10.0000,9.9500
33,W033,decoy_feat,5.4000,5.5000,5.6000,5.5000
34,W034,drift_feat,10.0000,10.0500,10.1000,10.0500
34,W034,decoy_feat,4.9000,5.0000,5.1000,5.0000
35,W035,drift_feat,9.9000,9.9500,10.0000,9.9500
35,W035,decoy_feat,4.4000,4.5000,4.6000,4.5000
36,W036,drift_feat,10.0000,10.0500,10.1000,10.0500
36,W036,decoy_feat,5.4000,5.5000,5.6000,5.5000
37,W037,drift_feat,9.9000,9.9500,10.0000,9.9500
37,W037,decoy_feat,4.9000,5.0000,5.1000,5.0000
38,W038,drift_feat,10.0000,10.0500,10.1000,10.0500
38,W038,decoy_feat,4.4000,4.5000,4.6000,4.5000
39,W039,drift_feat,9.9000,9.9500,10.0000,9.9500
39,W039,decoy_feat,5.4000,5.5000,5.6000,5.5000
40,W040,drift_feat,10.4500,10.5000,10.5500,10.5000
40,W040,decoy_feat,4.9000,5.0000,5.1000,5.0000
41,W041,drift_feat,10.9500,11.0000,11.0500,11.0000
41,W041,decoy_feat,4.4000,4.5000,4.6000,4.5000
42,W042,drift_feat,11.4500,11.5000,11.5500,11.5000
42,W042,decoy_feat,5.4000,5.5000,5.6000,5.5000
43,W043,drift_feat,11.9500,12.0000,12.0500,12.0000
43,W043,decoy_feat,4.9000,5.0000,5.1000,5.0000
44,W044,drift_feat,12.4500,12.5000,12.5500,12.5000
44,W044,decoy_feat,4.4000,4.5000,4.6000,4.5000
45,W045,drift_feat,12.9500,13.0000,13.0500,13.0000
45,W045,decoy_feat,5.4000,5.5000,5.6000,5.5000
46,W046,drift_feat,13.4500,13.5000,13.5500,13.5000
46,W046,decoy_feat,4.9000,5.0000,5.1000,5.0000
47,W047,drift_feat,13.9500,14.0000,14.0500,14.0000
47,W047,decoy_feat,4.4000,4.5000,4.6000,4.5000
48,W048,drift_feat,13.9500,14.0000,14.0500,14.0000
48,W048,decoy_feat,5.4000,5.5000,5.6000,5.5000
49,W049,drift_feat,13.9500,14.0000,14.0500,14.0000
49,W049,decoy_feat,4.9000,5.0000,5.1000,5.0000
50,W050,drift_feat,13.9500,14.0000,14.0500,14.0000
50,W050,decoy_feat,4.4000,4.5000,4.6000,4.5000
51,W051,drift_feat,13.9500,14.0000,14.0500,14.0000
51,W051,decoy_feat,5.4000,5.5000,5.6000,5.5000
52,W052,drift_feat,13.9500,14.0000,14.0500,14.0000
52,W052,decoy_feat,4.9000,5.0000,5.1000,5.0000
53,W053,drift_feat,13.9500,14.0000,14.0500,14.0000
53,W053,decoy_feat,4.4000,4.5000,4.6000,4.5000
54,W054,drift_feat,13.9500,14.0000,14.0500,14.0000
54,W054,decoy_feat,5.4000,5.5000,5.6000,5.5000
55,W055,drift_feat,13.9500,14.0000,14.0500,14.0000
55,W055,decoy_feat,4.9000,5.0000,5.1000,5.0000
56,W056,drift_feat,13.9500,14.0000,14.0500,14.0000
56,W056,decoy_feat,4.4000,4.5000,4.6000,4.5000
57,W057,drift_feat,13.9500,14.0000,14.0500,14.0000
57,W057,decoy_feat,5.4000,5.5000,5.6000,5.5000
58,W058,drift_feat,13.9500,14.0000,14.0500,14.0000
58,W058,decoy_feat,4.9000,5.0000,5.1000,5.0000
59,W059,drift_feat,13.9500,14.0000,14.0500,14.0000
59,W059,decoy_feat,4.4000,4.5000,4.6000,4.5000
